EM_before,0.3478
EM_after_upscale,0.3478
CER_before,0.1136
CER_after_upscale,0.1023

filename,ground_truth,ocr_before,ocr_after_upscale,match_before,match_after,cer_before,cer_after
263나6131.jpg,263나6131,263u6131,263u6131,False,False,0.125,0.125
27더1043.jpg,27더1043,27더1043,27더1043,True,True,0.0,0.0
29더2115.jpg,29더2115,29대 2115,29대 2115,False,False,0.1429,0.1429
31루0325.jpg,31루0325,31루 0325,31루 0325,True,True,0.0,0.0
40너8801.jpg,40너8801,404 8801,404 8801,False,False,0.1429,0.1429
43모8778.jpg,43모8778,432 8778,432 8778,False,False,0.1429,0.1429
45소3404.jpg,45소3404,45소 3404,45소 3404-,True,False,0.0,0.1429
46루5499.jpg,46루5499,46투 5499,46투 5499,False,False,0.1429,0.1429
46주6121.jpg,46주6121,46주 6121,46주 6121,True,True,0.0,0.0
49가7438.jpg,49가7438,49π 7438,49π 7438,False,False,0.1429,0.1429
52조0374.jpg,52조0374,52조 0374,52조 0374,True,True,0.0,0.0
58호0205-3.jpg,58호0205,58오 0205,58도 0205,False,False,0.1429,0.1429
69주3568.jpg,69주3568,69주 3568,69주 3568,True,True,0.0,0.0
72두2779.jpg,72두2779,72年2779,72年2779,False,False,0.1429,0.1429
81나7295.jpg,81나7295,8147295,8147295,False,False,0.1429,0.1429
87보6150-35.jpg,87보6150,87보6150,87보6150,True,True,0.0,0.0
경기37바1743-27.jpg,경기37바1743,주37바1743,위37바1743,False,False,0.2222,0.2222
경기37바2126-27.jpg,경기37바2126,경37배 2126,경37바 2126,False,False,0.2222,0.1111
경기37바5193-7.jpg,경기37바5193,뒤37바5193,경기37바5193,False,True,0.2222,0.0
경기37바5300-3.jpg,경기37바5300,주37바5300,귀37바5300,False,False,0.2222,0.2222
경기92바6611-36.jpg,경기92바6611,경기92바6611,경기92바6611,True,True,0.0,0.0
경기94자4581.jpg,경기94자4581,경94자4581,경94자4581,False,False,0.1111,0.1111
서울31사1369-2.jpg,서울31사1369,설31사1369,설31사1369,False,False,0.2222,0.2222
